,sepal_length,sepal_width,petal_length,petal_width,species,prod_pet_len_wid,prod_sep_len_wid
34,4.9,3.1,1.5,0.2,setosa,0.30000000000000004,15.190000000000001
35,5.0,3.2,1.2,0.2,setosa,0.24,16.0
36,5.5,3.5,1.3,0.2,setosa,0.26,19.25
37,4.9,3.6,1.4,0.1,setosa,0.13999999999999999,17.64
38,4.4,3.0,1.3,0.2,setosa,0.26,13.200000000000001
39,5.1,3.4,1.5,0.2,setosa,0.30000000000000004,17.34
40,5.0,3.5,1.3,0.3,setosa,0.39,17.5
41,4.5,2.3,1.3,0.3,setosa,0.39,10.35
42,4.4,3.2,1.3,0.2,setosa,0.26,14.080000000000002
43,5.0,3.5,1.6,0.6,setosa,0.96,17.5
44,5.1,3.8,1.9,0.4,setosa,0.76,19.38
45,4.8,3.0,1.4,0.3,setosa,0.42,14.399999999999999
46,5.1,3.8,1.6,0.2,setosa,0.32000000000000006,19.38
47,4.6,3.2,1.4,0.2,setosa,0.27999999999999997,14.719999999999999
48,5.3,3.7,1.5,0.2,setosa,0.30000000000000004,19.61
49,5.0,3.3,1.4,0.2,setosa,0.27999999999999997,16.5
50,7.0,3.2,4.7,1.4,versicolor,6.58,22.400000000000002
51,6.4,3.2,4.5,1.5,versicolor,6.75,20.480000000000004
52,6.9,3.1,4.9,1.5,versicolor,7.3500000000000005,21.39
53,5.5,2.3,4.0,1.3,versicolor,5.2,12.649999999999999
54,6.5,2.8,4.6,1.5,versicolor,6.8999999999999995,18.2
55,5.7,2.8,4.5,1.3,versicolor,5.8500000000000005,15.959999999999999
56,6.3,3.3,4.7,1.6,versicolor,7.5200000000000005,20.79
57,4.9,2.4,3.3,1.0,versicolor,3.3,11.76
58,6.6,2.9,4.6,1.3,versicolor,5.9799999999999995,19.139999999999997
59,5.2,2.7,3.9,1.4,versicolor,5.46,14.040000000000001
60,5.0,2.0,3.5,1.0,versicolor,3.5,10.0
61,5.9,3.0,4.2,1.5,versicolor,6.300000000000001,17.700000000000003
62,6.0,2.2,4.0,1.0,versicolor,4.0,13.200000000000001
63,6.1,2.9,4.7,1.4,versicolor,6.58,17.689999999999998
64,5.6,2.9,3.6,1.3,versicolor,4.680000000000001,16.24
65,6.7,3.1,4.4,1.4,versicolor,6.16,20.77
66,5.6,3.0,4.5,1.5,versicolor,6.75,16.799999999999997
67,5.8,2.7,4.1,1.0,versicolor,4.1,15.66
68,6.2,2.2,4.5,1.5,versicolor,6.75,13.640000000000002
69,5.6,2.5,3.9,1.1,versicolor,4.29,14.0
70,5.9,3.2,4.8,1.8,versicolor,8.64,18.880000000000003
71,6.1,2.8,4.0,1.3,versicolor,5.2,17.08
72,6.3,2.5,4.9,1.5,versicolor,7.3500000000000005,15.75
73,6.1,2.8,4.7,1.2,versicolor,5.64,17.08
74,6.4,2.9,4.3,1.3,versicolor,5.59,18.56
75,6.6,3.0,4.4,1.4,versicolor,6.16,19.799999999999997
76,6.8,2.8,4.8,1.4,versicolor,6.72,19.04
77,6.7,3.0,5.0,1.7,versicolor,8.5,20.1
78,6.0,2.9,4.5,1.5,versicolor,6.75,17.4
79,5.7,2.6,3.5,1.0,versicolor,3.5,14.82
80,5.5,2.4,3.8,1.1,versicolor,4.18,13.2
81,5.5,2.4,3.7,1.0,versicolor,3.7,13.2
82,5.8,2.7,3.9,1.2,versicolor,4.68,15.66
83,6.0,2.7,5.1,1.6,versicolor,8.16,16.200000000000003
84,5.4,3.0,4.5,1.5,versicolor,6.75,16.200000000000003
85,6.0,3.4,4.5,1.6,versicolor,7.2,20.4
86,6.7,3.1,4.7,1.5,versicolor,7.050000000000001,20.77
87,6.3,2.3,4.4,1.3,versicolor,5.720000000000001,14.489999999999998
88,5.6,3.0,4.1,1.3,versicolor,5.33,16.799999999999997
89,5.5,2.5,4.0,1.3,versicolor,5.2,13.75
90,5.5,2.6,4.4,1.2,versicolor,5.28,14.3
91,6.1,3.0,4.6,1.4,versicolor,6.4399999999999995,18.299999999999997
92,5.8,2.6,4.0,1.2,versicolor,4.8,15.08
93,5.0,2.3,3.3,1.0,versicolor,3.3,11.5
94,5.6,2.7,4.2,1.3,versicolor,5.460000000000001,15.12
95,5.7,3.0,4.2,1.2,versicolor,5.04,17.1
96,5.7,2.9,4.2,1.3,versicolor,5.460000000000001,16.53
97,6.2,2.9,4.3,1.3,versicolor,5.59,17.98
98,5.1,2.5,3.0,1.1,versicolor,3.3000000000000003,12.75
99,5.7,2.8,4.1,1.3,versicolor,5.33,15.959999999999999
100,6.3,3.3,6.0,2.5,virginica,15.0,20.79
101,5.8,2.7,5.1,1.9,virginica,9.69,15.66
102,7.1,3.0,5.9,2.1,virginica,12.39,21.299999999999997
103,6.3,2.9,5.6,1.8,virginica,10.08,18.27
104,6.5,3.0,5.8,2.2,virginica,12.76,19.5
105,7.6,3.0,6.6,2.1,virginica,13.86,22.799999999999997
106,4.9,2.5,4.5,1.7,virginica,7.6499999999999995,12.25
107,7.3,2.9,6.3,1.8,virginica,11.34,21.169999999999998
108,6.7,2.5,5.8,1.8,virginica,10.44,16.75
109,7.2,3.6,6.1,2.5,virginica,15.25,25.92
110,6.5,3.2,5.1,2.0,virginica,10.2,20.8
111,6.4,2.7,5.3,1.9,virginica,10.069999999999999,17.28
112,6.8,3.0,5.5,2.1,virginica,11.55,20.4
113,5.7,2.5,5.0,2.0,virginica,10.0,14.25
114,5.8,2.8,5.1,2.4,virginica,12.239999999999998,16.24
115,6.4,3.2,5.3,2.3,virginica,12.19,20.480000000000004
116,6.5,3.0,5.5,1.8,virginica,9.9,19.5
117,7.7,3.8,6.7,2.2,virginica,14.740000000000002,29.259999999999998
118,7.7,2.6,6.9,2.3,virginica,15.87,20.02
119,6.0,2.2,5.0,1.5,virginica,7.5,13.200000000000001
120,6.9,3.2,5.7,2.3,virginica,13.11,22.080000000000002
121,5.6,2.8,4.9,2.0,virginica,9.8,15.679999999999998
122,7.7,2.8,6.7,2.0,virginica,13.4,21.56
123,6.3,2.7,4.9,1.8,virginica,8.82,17.01
124,6.7,3.3,5.7,2.1,virginica,11.97,22.11
125,7.2,3.2,6.0,1.8,virginica,10.8,23.040000000000003
126,6.2,2.8,4.8,1.8,virginica,8.64,17.36
127,6.1,3.0,4.9,1.8,virginica,8.82,18.299999999999997
128,6.4,2.8,5.6,2.1,virginica,11.76,17.919999999999998
129,7.2,3.0,5.8,1.6,virginica,9.28,21.6
130,7.4,2.8,6.1,1.9,virginica,11.589999999999998,20.72
131,7.9,3.8,6.4,2.0,virginica,12.8,30.02
132,6.4,2.8,5.6,2.2,virginica,12.32,17.919999999999998
133,6.3,2.8,5.1,1.5,virginica,7.6499999999999995,17.639999999999997
134,6.1,2.6,5.6,1.4,virginica,7.839999999999999,15.86
135,7.7,3.0,6.1,2.3,virginica,14.029999999999998,23.1
136,6.3,3.4,5.6,2.4,virginica,13.44,21.419999999999998
137,6.4,3.1,5.5,1.8,virginica,9.9,19.840000000000003
138,6.0,3.0,4.8,1.8,virginica,8.64,18.0
139,6.9,3.1,5.4,2.1,virginica,11.340000000000002,21.39
140,6.7,3.1,5.6,2.4,virginica,13.44,20.77
141,6.9,3.1,5.1,2.3,virginica,11.729999999999999,21.39
142,5.8,2.7,5.1,1.9,virginica,9.69,15.66
143,6.8,3.2,5.9,2.3,virginica,13.57,21.76
144,6.7,3.3,5.7,2.5,virginica,14.25,22.11
145,6.7,3.0,5.2,2.3,virginica,11.959999999999999,20.1
146,6.3,2.5,5.0,1.9,virginica,9.5,15.75
147,6.5,3.0,5.2,2.0,virginica,10.4,19.5
148,6.2,3.4,5.4,2.3,virginica,12.42,21.08
149,5.9,3.0,5.1,1.8,virginica,9.18,17.700000000000003
